# Baseline coverage captured: 2026-04-14
# Total line coverage: 75.17%
# Recommended CI floor: 70% (current minus 5% buffer for refactoring headroom)
# Note: Integration tests excluded (require pre-built binaries, hang under instrumentation)
# Run command: LLVM_COV=/opt/homebrew/opt/llvm@21/bin/llvm-cov LLVM_PROFDATA=/opt/homebrew/opt/llvm@21/bin/llvm-profdata cargo llvm-cov report
# For Homebrew Rust installs, set LLVM_COV and LLVM_PROFDATA env vars pointing to Homebrew LLVM

Filename                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
crates/anyclaw-supervisor/src/admin_server.rs            64                28    56.25%           7                 4    42.86%          52                33    36.54%           0                 0         -
crates/anyclaw-supervisor/src/lib.rs                   1123               137    87.80%          77                 9    88.31%         723                83    88.52%           0                 0         -
crates/anyclaw-test-helpers/src/config.rs               600               214    64.33%          23                10    56.52%         651               209    67.90%           0                 0         -
crates/anyclaw-test-helpers/src/handles.rs               24                 0   100.00%           3                 0   100.00%          12                 0   100.00%           0                 0         -
crates/anyclaw-test-helpers/src/paths.rs                 50                 0   100.00%          10                 0   100.00%          41                 0   100.00%           0                 0         -
crates/anyclaw-test-helpers/src/poll.rs                  34                 1    97.06%           8                 0   100.00%          22                 1    95.45%           0                 0         -
crates/anyclaw-test-helpers/src/ports.rs                 51                 1    98.04%           7                 0   100.00%          36                 1    97.22%           0                 0         -
crates/anyclaw-test-helpers/src/sse.rs                  141                33    76.60%          13                 2    84.62%         104                25    75.96%           0                 0         -
crates/anyclaw-test-helpers/src/supervisor.rs            29                29     0.00%           3                 3     0.00%          20                20     0.00%           0                 0         -
crates/anyclaw-test-helpers/src/timeout.rs               20                 1    95.00%           6                 1    83.33%          16                 1    93.75%           0                 0         -
crates/anyclaw-tools/src/error.rs                         2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
crates/anyclaw-tools/src/external.rs                    111                55    50.45%          17                10    41.18%          85                43    49.41%           0                 0         -
crates/anyclaw-tools/src/manager.rs                     996               137    86.24%          97                20    79.38%         638                94    85.27%           0                 0         -
crates/anyclaw-tools/src/mcp_host.rs                    100                 0   100.00%          15                 0   100.00%          60                 0   100.00%           0                 0         -
crates/anyclaw-tools/src/wasm_runner.rs                 224                28    87.50%          24                 9    62.50%         183                25    86.34%           0                 0         -
crates/anyclaw-tools/src/wasm_tool.rs                   283                 7    97.53%          23                 2    91.30%         156                 2    98.72%           0                 0         -
crates/anyclaw/src/banner.rs                            150                 5    96.67%           5                 0   100.00%         123                 2    98.37%           0                 0         -
crates/anyclaw/src/cli.rs                                76                 6    92.11%           9                 0   100.00%          38                 0   100.00%           0                 0         -
crates/anyclaw/src/init.rs                              175                 8    95.43%          15                 0   100.00%          96                 2    97.92%           0                 0         -
crates/anyclaw/src/main.rs                               88                88     0.00%           5                 5     0.00%         108               108     0.00%           0                 0         -
crates/anyclaw/src/status.rs                            259                14    94.59%          14                 1    92.86%         151                 8    94.70%           0                 0         -
ext/agents/mock-agent/src/main.rs                       779               296    62.00%          55                16    70.91%         557               241    56.73%           0                 0         -
ext/channels/debug-http/src/main.rs                     974               170    82.55%          75                21    72.00%         686               126    81.63%           0                 0         -
ext/channels/sdk-test-channel/src/main.rs               108                25    76.85%          16                 6    62.50%          86                27    68.60%           0                 0         -
ext/channels/telegram/src/channel.rs                    524               302    42.37%          52                30    42.31%         360               212    41.11%           0                 0         -
ext/channels/telegram/src/deliver.rs                   1352              1122    17.01%          71                58    18.31%         772               641    16.97%           0                 0         -
ext/channels/telegram/src/dispatcher.rs                 265               133    49.81%          24                11    54.17%         165                85    48.48%           0                 0         -
ext/channels/telegram/src/formatting.rs                 261                 4    98.47%          23                 1    95.65%         110                 1    99.09%           0                 0         -
ext/channels/telegram/src/main.rs                        25                25     0.00%           3                 3     0.00%          19                19     0.00%           0                 0         -
ext/channels/telegram/src/peer.rs                        58                 0   100.00%           7                 0   100.00%          40                 0   100.00%           0                 0         -
ext/channels/telegram/src/permissions.rs                230                 2    99.13%          21                 0   100.00%         158                 2    98.73%           0                 0         -
ext/channels/telegram/src/state.rs                       58                 0   100.00%           5                 0   100.00%          30                 0   100.00%           0                 0         -
ext/channels/telegram/src/turn.rs                       109                28    74.31%          15                 5    66.67%          86                10    88.37%           0                 0         -
ext/tools/sdk-test-tool/src/main.rs                     105                 8    92.38%          17                 2    88.24%          75                 9    88.00%           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                 22917              5724    75.02%        1937               439    77.34%       15600              3873    75.17%           0                 0         -
